year,n_assemblies,mean_n_bases,mean_optimal_2bit_bytes,mean_zlib_bytes,mean_zlib_bytes_corrected
2020,410,4972318.585365853,1243079.6463414633,1391658.1170731708,1383417.6170731708
2021,747,4852912.428380188,1213228.107095047,1358710.8621151273,1350470.3621151273
2022,461,4969717.681127982,1242429.4202819956,1390957.622559653,1382717.122559653
2023,521,4928395.556621881,1232098.8891554703,1379444.7024952015,1371204.2024952015
2024,838,4926458.676610978,1231614.6691527446,1379090.0871121718,1370849.5871121718
2025,448,4935265.875,1233816.46875,1381561.9308035714,1373321.4308035714
2026,63,4922230.285714285,1230557.5714285714,1377083.0317460317,1368842.5317460317
