year,count,mean,std,sem,ci_low,ci_high,n_seqs,mean_seq_len,avg_uncompressed_bytes,avg_zlib_bytes,avg_compression_ratio,avg_bytes_per_base,avg_bits_per_base,avg_ratio_vs_2bit,avg_excess_bits_per_base,avg_overhead_bits_hat,avg_bits_per_base_corrected
2019,1,1.9054189831870856,,,,,1,29858.0,29858.0,8928.0,0.29901533927255675,0.29901533927255675,2.392122714180454,1.1959812458137977,0.39212271418045397,14532.0,1.9054189831870856
2020,443,1.903184065510684,0.007757606284611201,0.0003685749975507042,1.9024616585154845,1.9039064725058834,443,29802.97065462754,29802.97065462754,8906.812641083521,0.29885638909275924,0.29885638909275924,2.390851112742074,1.1953592750391662,0.3908511127420742,14533.932279909706,1.903184065510684
2021,4018,1.903819458722809,0.005592919292624755,8.82335160997147e-05,1.9036465210312536,1.9039923964143644,4018,29778.324539571928,29778.324539571928,8901.297660527625,0.29891888493936364,0.29891888493936364,2.391351079514909,1.1956127872450821,0.39135107951490916,14517.871577899452,1.903819458722809
2022,453,1.9034487424253195,0.02282503706190242,0.0010724137912600763,1.9013468113944498,1.9055506734561891,453,29690.09050772627,29690.09050772627,8874.293598233995,0.29889621396912774,0.29889621396912774,2.391169711753022,1.1955307526649956,0.3913307204112662,14480.454746136866,1.9034487424253195
2023,47,1.9039179140798934,0.005033466596374277,0.0007342065622850701,1.9024788692178147,1.905356958941972,47,29682.531914893618,29682.531914893618,8873.95744680851,0.29896312941379677,0.29896312941379677,2.391705035310374,1.1957967984611655,0.3917050353103739,14478.765957446809,1.9039179140798934
2024,13,1.8992203391250664,0.030749445960106956,0.008528361853944203,1.8825047498913356,1.9159359283587971,13,29758.30769230769,29758.30769230769,8879.846153846154,0.29840037924682555,0.29840037924682555,2.3872030339746044,1.1935213705205368,0.38720303397460454,14521.538461538461,1.8992203391250664
2025,12,1.8961913748936228,0.027585127979176904,0.007963140532204031,1.8805836194505028,1.9117991303367428,12,29664.5,29664.5,8840.25,0.2980020764026397,0.2980020764026397,2.3840166112211176,1.1919480592179112,0.3840166112211178,14471.0,1.8961913748936228
2026,1,1.8961805439120083,,,,,1,29821.0,29821.0,8886.0,0.2979779350122397,0.2979779350122397,2.3838234800979174,1.1917918454935623,0.38382348009791745,14542.0,1.8961805439120083
