year,count,mean,std,sem,ci_low,ci_high,n_seqs,mean_seq_len,avg_uncompressed_bytes,avg_zlib_bytes,avg_compression_ratio,avg_bytes_per_base,avg_bits_per_base,avg_ratio_vs_2bit,avg_excess_bits_per_base,avg_overhead_bits_hat,avg_bits_per_base_corrected
2022,2026,1.9163999138120007,0.0034114768618229542,7.579188519347792e-05,1.9162513617170214,1.91654846590698,2026,197050.40375123397,197050.40375123397,55340.050839091804,0.2808420504342797,0.2808420504342797,2.2467364034742374,1.1233579430319034,0.2467364034742375,65092.90424481737,1.9163999138120007
2023,369,1.9166090836973504,0.0026938057243718586,0.0001402339245907382,1.9163342252051525,1.9168839421895483,369,196957.71544715448,196957.71544715448,55319.49322493225,0.2808696040916796,0.2808696040916796,2.246956832733437,1.1234685395741326,0.24695683273343705,65064.49322493225,1.9166090836973504
2024,367,1.9171399323417186,0.0016519832611270454,8.623282429849884e-05,1.9169709160060935,1.9173089486773438,367,197107.00272479563,197107.00272479563,55371.967302452314,0.2809233608798757,0.2809233608798757,2.2473868870390055,1.1236855831493815,0.24738688703900513,65093.96185286104,1.9171399323417186
2025,641,1.9169911445529464,0.003993416645123606,0.0001577304742227017,1.91668199282347,1.9173002962824228,641,197707.09360374414,197707.09360374414,55529.83151326053,0.28089727389768543,0.28089727389768543,2.2471781911814834,1.123579888320346,0.24717819118148357,65269.201248049925,1.9169911445529464
2026,26,1.9169028797051932,0.0006772938792575456,0.0001328282579527377,1.9166425363196058,1.9171632230907807,26,197172.38461538462,197172.38461538462,55386.346153846156,0.2809031637530794,0.2809031637530794,2.247225310024635,1.1236043260073711,0.24722531002463516,65130.46153846154,1.9169028797051932
