year,n_assemblies,mean_n_bases,mean_optimal_2bit_bytes,mean_zlib_bytes,mean_zlib_bytes_corrected
2021,1361,5226408.133725202,1306602.0334313004,1462328.6554004408,1454088.1554004408
2022,1212,5107483.075907591,1276870.7689768977,1429168.8663366337,1420928.3663366337
2023,1620,5121282.175925926,1280320.5439814816,1433007.3228395062,1424766.8228395062
2024,2319,5085715.978007762,1271428.9945019404,1423549.8335489435,1415309.3335489435
2025,1973,5178841.242777497,1294710.3106943741,1449276.9442473392,1441036.4442473392
2026,300,5186162.066666666,1296540.5166666666,1449184.5,1440944.0
