n,T,mu,phi_theory,phi_mc
1000,0.01,1e-05,3.2228290508572294e-09,3.066410594622141e-09
1000,0.012589254117941675,1.2589254117941675e-05,4.0468129688897294e-09,3.802107228756213e-09
1000,0.015848931924611134,1.5848931924611134e-05,5.0780611318502666e-09,5.221375889778226e-09
1000,0.0199526231496888,1.99526231496888e-05,6.3667277100050135e-09,6.110058626334152e-09
1000,0.025118864315095794,2.5118864315095795e-05,7.973946248546256e-09,7.753990972312814e-09
1000,0.03162277660168379,3.162277660168379e-05,9.973545010965577e-09,9.99035385211516e-09
1000,0.039810717055349734,3.9810717055349735e-05,1.2453591986977705e-08,1.2356953311826427e-08
1000,0.05011872336272725,5.0118723362727245e-05,1.551740923113928e-08,1.525416476373818e-08
1000,0.06309573444801933,6.309573444801933e-05,1.9283458563510848e-08,1.8939175727388142e-08
1000,0.07943282347242814,7.943282347242814e-05,2.388315409745424e-08,2.4079386485055168e-08
1000,0.1,0.0001,2.9455177593112357e-08,2.976985995115536e-08
1000,0.12589254117941676,0.00012589254117941674,3.613425757854843e-08,3.588041608464387e-08
1000,0.15848931924611143,0.00015848931924611142,4.4031678486280527e-08,4.3768459349378085e-08
1000,0.19952623149688797,0.00019952623149688798,5.3204196246609216e-08,5.316764923175869e-08
1000,0.25118864315095807,0.00025118864315095806,6.360798066648784e-08,6.259662051034509e-08
1000,0.31622776601683794,0.00031622776601683794,7.503551655043059e-08,7.457170582006693e-08
1000,0.3981071705534973,0.0003981071705534973,8.703746876877341e-08,8.711106996236731e-08
1000,0.5011872336272725,0.0005011872336272724,9.884027290918085e-08,9.883781396774439e-08
1000,0.6309573444801934,0.0006309573444801933,1.0928545415619455e-07,1.0947975247776916e-07
1000,0.7943282347242817,0.0007943282347242817,1.1683806134334678e-07,1.1717284070420915e-07
1000,1.0,0.001,1.1973243189492973e-07,1.1982790234122073e-07
1000,1.2589254117941675,0.0012589254117941675,1.163247884093387e-07,1.169043729426505e-07
1000,1.584893192461114,0.001584893192461114,1.0567004489830805e-07,1.0535236652149073e-07
1000,1.9952623149688808,0.0019952623149688807,8.820042642495092e-08,8.745133731293645e-08
1000,2.5118864315095824,0.0025118864315095825,6.617161773686675e-08,6.6939951926995e-08
1000,3.1622776601683795,0.0031622776601683794,4.340112804270759e-08,4.3994260824030934e-08
1000,3.981071705534973,0.003981071705534973,2.4029642160303363e-08,2.4098251785052114e-08
1000,5.011872336272725,0.005011872336272725,1.0744931542465508e-08,1.0847943833293665e-08
1000,6.309573444801936,0.006309573444801936,3.6694324815954375e-09,3.6862615722829546e-09
1000,7.943282347242821,0.00794328234724282,8.917281487567018e-10,8.616577875944908e-10
1000,10.0,0.01,1.4100140902832965e-10,1.1437702678254392e-10
1000,12.589254117941675,0.012589254117941675,1.2949541525066198e-11,1.9596677304447327e-11
1000,15.848931924611142,0.01584893192461114,5.979259208688293e-13,3.2573960155689353e-12
1000,19.952623149688808,0.01995262314968881,1.1549082208306155e-14,2.920803437816237e-21
1000,25.11886431509582,0.02511886431509582,7.377294765548359e-17,2.329504544312841e-29
1000,31.622776601683793,0.03162277660168379,1.152781692466348e-19,4.697976687438535e-39
1000,39.810717055349734,0.039810717055349734,2.986997696916173e-23,5.540877494384438e-51
1000,50.11872336272725,0.050118723362727255,7.748591578512333e-28,2.8582800029616653e-68
1000,63.095734448019364,0.06309573444801936,1.0399835508040657e-33,2.633809329494991e-86
1000,79.43282347242821,0.07943282347242821,3.0179955919179454e-41,3.499336416720793e-110
1000,100.0,0.1,5.885881100898083e-51,6.372652938083482e-128
10000,0.01,1e-06,3.222819527393719e-10,3.2845060765071965e-10
10000,0.012589254117941675,1.2589254117941674e-06,4.0467979735968853e-10,4.0136740453944093e-10
10000,0.015848931924611134,1.5848931924611134e-06,5.078037561286007e-10,5.315757812811413e-10
10000,0.0199526231496888,1.99526231496888e-06,6.366690740704829e-10,6.269535590771964e-10
10000,0.025118864315095794,2.5118864315095793e-06,7.973888423626841e-10,8.027349827073558e-10
10000,0.03162277660168379,3.162277660168379e-06,9.973454881667869e-10,9.739595921491083e-10
10000,0.039810717055349734,3.981071705534973e-06,1.245345213293734e-09,1.2457696399121335e-09
10000,0.05011872336272725,5.011872336272725e-06,1.5517193457406283e-09,1.5374375219809147e-09
10000,0.06309573444801933,6.309573444801933e-06,1.9283128098494253e-09,1.9521521922409797e-09
10000,0.07943282347242814,7.943282347242813e-06,2.3882652778108497e-09,2.3837953131609445e-09
10000,0.1,1e-05,2.945442648919375e-09,2.9785256087157406e-09
10000,0.12589254117941676,1.2589254117941676e-05,3.613315058796871e-09,3.648452801100692e-09
10000,0.15848931924611143,1.584893192461114e-05,4.4030082658576445e-09,4.374046660456702e-09
10000,0.19952623149688797,1.9952623149688796e-05,5.320196477029853e-09,5.349970750396781e-09
10000,0.25118864315095807,2.511886431509581e-05,6.360499359442222e-09,6.317761919909336e-09
10000,0.31622776601683794,3.1622776601683795e-05,7.503177511828072e-09,7.580157235336307e-09
10000,0.3981071705534973,3.981071705534973e-05,8.70332823804679e-09,8.70193571169964e-09
10000,0.5011872336272725,5.0118723362727245e-05,9.88365868745428e-09,9.891440579251027e-09
10000,0.6309573444801934,6.309573444801933e-05,1.0928435278902585e-08,1.0947824268763389e-08
10000,0.7943282347242817,7.943282347242817e-05,1.1684340833954345e-08,1.162693881962894e-08
10000,1.0,0.0001,1.1975042606660146e-08,1.1972731867890215e-08
10000,1.2589254117941675,0.00012589254117941674,1.1636389129757127e-08,1.1655436137330735e-08
10000,1.584893192461114,0.0001584893192461114,1.0573939332930902e-08,1.0593659026261134e-08
10000,1.9952623149688808,0.0001995262314968881,8.830591628980245e-09,8.857679828277812e-09
10000,2.5118864315095824,0.0002511886431509582,6.631010314826356e-09,6.594959715722426e-09
10000,3.1622776601683795,0.00031622776601683794,4.355596484678827e-09,4.358529087305657e-09
10000,3.981071705534973,0.0003981071705534973,2.4173231103479507e-09,2.4430324533154374e-09
10000,5.011872336272725,0.0005011872336272724,1.08511862507056e-09,1.0802604433552183e-09
10000,6.309573444801936,0.0006309573444801936,3.7289998500347195e-10,3.575008057505614e-10
10000,7.943282347242821,0.0007943282347242821,9.153754710017051e-11,9.50768316475263e-11
10000,10.0,0.001,1.4709768483064746e-11,1.497879985147651e-11
10000,12.589254117941675,0.0012589254117941675,1.3863504805794856e-12,1.3026044923996294e-12
10000,15.848931924611142,0.001584893192461114,6.671820370405178e-14,2.171876665091085e-17
10000,19.952623149688808,0.0019952623149688807,1.3768838040180028e-15,5.792926704589312e-25
10000,25.11886431509582,0.002511886431509582,9.777647099468231e-18,6.767547782031446e-36
10000,31.622776601683793,0.0031622776601683794,1.8100010403459156e-20,6.030661782899955e-47
10000,39.810717055349734,0.003981071705534973,6.152811645754621e-24,8.993798060215125e-64
10000,50.11872336272725,0.0050118723362727255,2.4676984311596883e-28,2.7570612903823582e-89
10000,63.095734448019364,0.006309573444801936,6.676527104304778e-34,1.457326744248801e-116
10000,79.43282347242821,0.00794328234724282,6.00831600455458e-41,8.746101245077649e-154
10000,100.0,0.01,7.344713007604386e-50,1.1376961898058854e-192
100000,0.01,1e-07,3.2228185750684126e-11,3.108724065634581e-11
100000,0.012589254117941675,1.2589254117941675e-07,4.0467964740781305e-11,4.013672090458199e-11
