n,T,mu,phi_theory,phi_mc
100000,0.015848931924611134,1.5848931924611136e-07,5.0780352042525886e-11,5.091146113477866e-11
100000,0.0199526231496888,1.9952623149688798e-07,6.366687043769104e-11,6.26953159479191e-11
100000,0.025118864315095794,2.5118864315095796e-07,7.973882641214613e-11,7.968750669656376e-11
100000,0.03162277660168379,3.162277660168379e-07,9.973445868867187e-11,1.0019532287787579e-10
100000,0.039810717055349734,3.9810717055349735e-07,1.2453438147679944e-10,1.2714845285878866e-10
100000,0.05011872336272725,5.011872336272725e-07,1.551717188036721e-10,1.5901695045934505e-10
100000,0.06309573444801933,6.309573444801933e-07,1.9283095052540637e-10,1.9121097779078207e-10
100000,0.07943282347242814,7.943282347242813e-07,2.3882602647089263e-10,2.434245407047645e-10
100000,0.1,1e-06,2.9454351380339054e-10,2.94921971240672e-10
100000,0.12589254117941676,1.2589254117941676e-06,3.613303989142964e-10,3.6803400940735993e-10
100000,0.15848931924611143,1.5848931924611143e-06,4.4029923079256223e-10,4.3909529453697076e-10
100000,0.19952623149688797,1.9952623149688796e-06,5.320174162598277e-10,5.351566061328467e-10
100000,0.25118864315095807,2.5118864315095806e-06,6.360469488478164e-10,6.366541853055709e-10
100000,0.31622776601683794,3.1622776601683796e-06,7.503140095198629e-10,7.428393297985411e-10
100000,0.3981071705534973,3.981071705534973e-06,8.703286365804565e-10,8.641612878718855e-10
100000,0.5011872336272725,5.011872336272725e-06,9.88362180319488e-10,9.834001040213795e-10
100000,0.6309573444801934,6.309573444801934e-06,1.0928424205235329e-09,1.0967796304611274e-09
100000,0.7943282347242817,7.943282347242817e-06,1.1684394167761288e-09,1.1685577999328388e-09
100000,1.0,1e-05,1.1975222266634332e-09,1.1909219579244003e-09
100000,1.2589254117941675,1.2589254117941675e-05,1.1636779631925287e-09,1.1674202033916992e-09
100000,1.584893192461114,1.584893192461114e-05,1.0574631947042826e-09,1.065337624454604e-09
100000,1.9952623149688808,1.995262314968881e-05,8.831645308442683e-10,8.883847890327754e-10
100000,2.5118864315095824,2.5118864315095822e-05,6.63239384074823e-10,6.612035280573135e-10
100000,3.1622776601683795,3.1622776601683795e-05,4.3571440004354154e-10,4.3545381416120424e-10
100000,3.981071705534973,3.981071705534973e-05,2.4187593526675875e-10,2.4277661521465836e-10
100000,5.011872336272725,5.0118723362727245e-05,1.0861829910811477e-10,1.1045103863433483e-10
100000,6.309573444801936,6.309573444801936e-05,3.7349822396470026e-11,3.935625825537428e-11
100000,7.943282347242821,7.943282347242821e-05,9.177609573861646e-12,9.440336376607021e-12
100000,10.0,0.0001,1.4771727403612398e-12,1.2695811648349667e-12
100000,12.589254117941675,0.00012589254117941674,1.395755137450445e-13,1.302139759347139e-13
100000,15.848931924611142,0.00015848931924611142,6.74454329956941e-15,4.340516509292677e-19
100000,19.952623149688808,0.0001995262314968881,1.400970359080883e-16,2.1702618694969926e-24
100000,25.11886431509582,0.0002511886431509582,1.0052189190411322e-18,2.893692136199824e-29
100000,31.622776601683793,0.00031622776601683794,1.891713045636928e-21,2.2020659671889872e-61
100000,39.810717055349734,0.00039810717055349735,6.601144218614576e-25,4.753343436760935e-83
100000,50.11872336272725,0.0005011872336272725,2.7600060704615126e-29,6.454877437467007e-116
100000,63.095734448019364,0.0006309573444801936,7.977970220038651e-35,3.0671306860561348e-152
100000,79.43282347242821,0.0007943282347242821,7.975328017046552e-42,9.030654358953152e-184
100000,100.0,0.001,1.152248564737441e-50,8.214224064767331e-263
