year,count,ci_low,ci_high,avg_bits_per_base_corrected,organism
2020,740,1.8676868267527869,1.8684654632380269,1.8680761449954069,RSV
2021,2327,1.8702254190553809,1.8708105059936464,1.8705179625245136,RSV
2022,3098,1.8691273404622568,1.870183676986835,1.869655508724546,RSV
2023,4314,1.869409426774874,1.8698860467903484,1.8696477367826112,RSV
2024,5043,1.8683109884580693,1.870038978791648,1.8691749836248588,RSV
2025,3357,1.8675215631792148,1.868112302572405,1.8678169328758096,RSV
2026,5,1.8575297614137496,1.8748863592119207,1.8662080603128357,RSV
2022,2026,1.9162513617170212,1.91654846590698,1.9163999138120007,Pox
2023,369,1.9163342252051525,1.9168839421895485,1.9166090836973504,Pox
2024,367,1.9169709160060933,1.917308948677344,1.9171399323417184,Pox
2025,641,1.91668199282347,1.9173002962824228,1.9169911445529464,Pox
2026,26,1.9166425363196056,1.917163223090781,1.9169028797051928,Pox
2020,443,1.9024616585154843,1.9039064725058836,1.903184065510684,hCOV-19
2021,4018,1.9036465210312536,1.9039923964143644,1.903819458722809,hCOV-19
2022,453,1.9013468113944496,1.905550673456189,1.9034487424253197,hCOV-19
2023,47,1.9024788692178147,1.905356958941972,1.9039179140798932,hCOV-19
2024,13,1.882504749891336,1.915935928358797,1.8992203391250664,hCOV-19
2025,12,1.8805836194505028,1.9117991303367428,1.8961913748936228,hCOV-19
2010,307,1.9181275833141205,1.9209961599991725,1.9195618716566465,H3N2
2011,493,1.9132331886092415,1.9152917115411008,1.9142624500751717,H3N2
2012,1269,1.9155538181280989,1.9168495742209517,1.916201696174525,H3N2
2013,1138,1.9159887378301192,1.9177431605081796,1.916865949169149,H3N2
2014,2083,1.9043833759255613,1.9058444507569043,1.905113913341233,H3N2
2015,2411,1.9039840691338583,1.9051689159029372,1.904576492518398,H3N2
2016,2053,1.917730537603361,1.9191681598317685,1.918449348717565,H3N2
2017,5328,1.9215888500773264,1.9225964961991189,1.9220926731382224,H3N2
2018,3692,1.921212319560979,1.922743768976762,1.9219780442688703,H3N2
2019,5456,1.9530571956720448,1.9536798937377011,1.953368544704873,H3N2
2020,480,1.9392853901206613,1.9419497674603128,1.9406175787904876,H3N2
2021,3476,1.917058395749544,1.9179168291521247,1.9174876124508344,H3N2
2022,10179,1.924396572372152,1.9249896208861617,1.9246930966291569,H3N2
2023,2922,1.938947902866128,1.940624187940841,1.9397860454034843,H3N2
2024,8449,1.9446706706530688,1.9459676484032569,1.9453191595281627,H3N2
2025,5168,1.9426704904405097,1.9434004105082845,1.9430354504743967,H3N2
2020,410,1.891746935740042,1.90574563532753,1.898746285533786,salmonella
2021,747,1.8881895822170636,1.9100747120554198,1.8991321471362417,salmonella
2022,461,1.8919619582908842,1.905594162967723,1.8987780606293037,salmonella
2023,521,1.8928972817831642,1.904614729746762,1.898756005764963,salmonella
2024,838,1.8943971153689156,1.903625437397589,1.8990112763832523,salmonella
2025,448,1.8928476824105858,1.9052333052892558,1.8990404938499208,salmonella
2026,63,1.8782930436708343,1.917426714617195,1.8978598791440147,salmonella
2021,1361,1.893258323894471,1.9041735705545861,1.8987159472245285,ecoli
2022,1212,1.8927765006304487,1.904461566252321,1.8986190334413848,ecoli
2023,1620,1.8924013316261648,1.9048353362589703,1.8986183339425675,ecoli
2024,2319,1.888327356832231,1.9100826917821687,1.8992050243071998,ecoli
2025,1973,1.8916164248393532,1.9062959840174882,1.8989562044284207,ecoli
2026,300,1.8857609076014517,1.9065470438324503,1.896153975716951,ecoli
