generation,mut_mean,mut_ci_low,mut_ci_high,sel_mean,sel_ci_low,sel_ci_high
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.051836495740203235,0.03859764183532941,0.06507534964507705,0.054806286849887066,0.0425946853084604,0.06701788839131373
2,0.10977603323616304,0.09152234807280066,0.12802971839952543,0.0994042152361814,0.08271002095593383,0.11609840951642897
3,0.15279035830030477,0.130092671518022,0.17548804508258753,0.14030730137216088,0.12265714572316197,0.1579574570211598
4,0.20203907401426105,0.1746186343655967,0.2294595136629254,0.19161626404375376,0.16976751894041656,0.21346500914709096
5,0.24434796073114232,0.2164982499047901,0.2721976715574945,0.23093934687853523,0.20850551145148039,0.2533731823055901
6,0.2756844838742795,0.24739351250241,0.30397545524614905,0.26885168080899413,0.24368403906815747,0.29401932254983076
7,0.3054448317457222,0.27746489599908575,0.3334247674923586,0.3062015759508417,0.27828183723906746,0.3341213146626159
8,0.3418377234771321,0.31221261909524595,0.37146282785901824,0.3409223563341873,0.31365782676075776,0.3681868859076169
9,0.38380777510674396,0.352411827201149,0.41520372301233893,0.3804900915127222,0.35121346667432063,0.4097667163511237
10,0.4137841238355997,0.3807726776113972,0.4467955700598022,0.4100095038725369,0.3816459150790794,0.43837309266599433
11,0.45257579424576067,0.42258260286527716,0.4825689856262442,0.4385554128221282,0.4107783029992242,0.46633252264503217
12,0.4840829122112586,0.4514746517241768,0.5166911726983404,0.46899815540895096,0.44140745416526495,0.49658885665263697
13,0.5153688474515319,0.48398501804782146,0.5467526768552423,0.4946370982877011,0.46869298129478965,0.5205812152806125
14,0.547206632306477,0.5169606814048107,0.5774525832081434,0.517154896296938,0.49282719493595295,0.5414825976579231
15,0.577621356029551,0.5463593952325143,0.6088833168265877,0.5331285256878052,0.5116186047582424,0.554638446617368
16,0.6106922342859042,0.5783688425047526,0.6430156260670559,0.5453793403693692,0.5264708941799371,0.5642877865588013
17,0.6318478832332618,0.5999933714942172,0.6637023949723064,0.5548590201170829,0.5375889564193381,0.5721290838148276
